Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
3D/UHD Video;1,00E-05;0;0;1000;no;no;5586.885722186372;2671705.1204197793;0.0007979021001704386;1812587.6893704706;feMBB;yes
Smart City;0.0;0;0;0;no;yes;2485.3938932697915;1591194.1992999357;0.0004245149536886697;2615880.9478934165;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5032.7137693138475;3242966.5905747144;0.0003713041024688633;2768976.9461854436;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;6161.458433602317;1125716.6735323055;0.0005482029787714549;1125450.3158062203;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5472.016236095539;2780819.0080482024;0.0003393630282916716;2089912.47204614;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3571.511730738548;549090.0938864064;0.0004167502104167004;1868851.8476925315;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3864.759855437235;1887156.750751947;0.0006044263975390659;3263922.1963297455;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7478.577555238077;1608037.2627869733;0.0009787910409760335;1523521.6944193642;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3437.911602122812;2292980.711150699;0.0005942427353992913;2370164.6696202783;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6976.415454902377;2544514.6058436185;0.0006974758803086245;2461783.5837311842;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3965.078077242986;3289473.4341786955;0.00041548562713279984;2041268.6910714514;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;6883.935147714382;1645299.184643546;0.0005445106384722683;2920855.212722181;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5902.249768154814;1509056.6972886748;0.00018034842128073256;1936888.0747334573;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4420.486396520121;2588139.8787180083;0.0002779189182455003;1184697.7236995418;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2056.5773644687156;1909382.9888084505;0.0005260784465154123;2979010.292105471;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5664.713073699486;1576538.717493157;0.000558953896031813;1702245.4179124834;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;5303.074967202711;1703027.1064085923;0.0006408034926369475;2063066.7720575074;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5690.285646034492;1526292.709890733;0.00046839613850031906;1895965.989104692;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5899.412583371993;887223.1160852483;0.000751487153641767;1370217.777674795;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2810.5072510531854;3042012.1680699913;0.000591723432561737;1388854.4362666672;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5655.887466218075;2325586.9595102933;0.0001977998946489307;972843.2585489812;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;6237.94403422154;926215.2936378643;0.00019811544962719535;2345963.8347536414;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6218.282689275141;2999792.1032162816;0.0005214281788124755;2479839.600057996;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;2912.2811363665423;2118076.017249967;0.00046046786580458823;2165663.703697997;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6924.138861947583;1858871.4273752612;0.0005369252101095808;2406394.510322467;feMBB;yes
Smart City;0.0;0;0;0;no;yes;5714.927698440919;2353123.026270173;0.0004439859976451288;1912624.160755613;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;5926.3206965949985;1709743.2703513792;0.0003999373983758992;2134530.032329364;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3507.8158498182656;1122952.6590788215;0.0003775552884449231;1981276.8611181655;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6262.194125236767;1640662.0992547597;0.0004904783348540838;1952074.845011681;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2127.5972392912395;1951223.3660950442;0.0006399465168164687;1277601.0903632;feMBB;yes
Smart City;0.0;0;0;0;no;yes;3586.979913804352;1400110.7764833467;0.0003206319017191459;2877914.4475272098;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7111.262706840764;2339091.436130763;0.0004768886538324869;1807077.9037643846;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6181.372630888698;2853016.412636862;0.00073744599096404;1691150.513826645;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5486.2982294787425;1756464.846947803;0.00020979665867590196;1625247.8891790397;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;6573.199176397003;474139.29243429634;0.0006070871440542576;1743319.8871993027;umMTC;no
Smart Home;0.0;0;0;0;no;yes;6688.9855911329205;1889234.2647915243;0.0004652593063895692;1750190.539098048;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6263.565644382948;1433222.821048772;0.00036996257740379534;2130756.185333764;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4638.15632836396;1857169.6173349482;0.00040761236881877545;877755.7002910103;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3537.235440313926;1848432.0222262633;0.0006721446289783395;1426395.524606497;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;3894.922361718647;1425813.251008613;0.0004782944016413726;2991508.6159109203;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;7351.244437093417;1088530.4993236046;0.00032070724020803504;2945512.8007121724;feMBB;yes
Smart City;0.0;0;0;0;no;yes;2874.8815546695855;2008272.391935386;0.000355578683208845;1826122.3805449964;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;5818.457203009233;1488065.425926132;0.0004168275004375418;3663455.701200397;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5821.016481772489;3162511.99353313;0.0006446411429028487;2467263.1394008896;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7447.017212416067;2164238.529691304;0.0004162370333607575;2981315.6693445924;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5816.3503087883355;1510911.8253571566;0.0004958708326484894;2060878.3315194868;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4295.197649344088;1683964.180319723;0.0003847657485445467;1833062.7343197868;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4321.441933634728;1899011.44045004;0.0004335842743595326;2635061.8790659932;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4990.866600988011;2065308.516795817;0.0004730190542127479;2745134.6143387724;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6888.093310674517;2410928.013175866;0.0003449366956166384;1818713.882990364;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6344.565344605708;2763292.8868403668;0.00036980861110321036;2293727.7103377557;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3191.1621170663816;1952648.5033986752;0.00041308911951805225;41342.058083236916;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5464.891598370538;2303482.786033341;0.0007502755105557;1566612.396720899;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6375.801512720488;2284292.4632309307;0.0005101198478171129;2951727.2340027066;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4605.247219915651;2065846.2514243578;0.0003507578243553453;1643418.1531175184;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;1400.9026177684814;1861564.5599769994;0.0006406327351078027;1964578.7810167843;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4673.077550612999;2094333.9012114936;0.000649502184016223;1917748.1131150336;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2525.4980245115844;1564537.180418437;0.00034729792766587456;1270165.5414121645;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2261.6823358296137;1243768.9502708446;0.0007708369326322611;1940946.3305054866;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6775.598970733403;2962697.4123384664;0.0005638708533173858;1860973.3522584527;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;9201.797538276718;2143749.7445432567;0.0005699665509289019;1389376.5857158434;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;7274.081708669588;2182149.526833025;0.0005601728089201112;1903810.8774358598;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;649.9467607960014;1855665.10691335;0.0005562756802717316;1215470.019239772;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4712.174351200914;2332132.235096687;0.00048077713204553406;1967395.7764990882;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4017.784269919012;1880083.9381996386;0.0006082709677605094;1950771.5720496404;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;2549.20793641649;988563.280392696;0.00044495210823520826;3315166.144306974;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5775.187095358126;1643602.6987597533;0.0007622393621038032;1466570.5300164549;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4692.5412239698635;2398403.39970258;0.00016783036296265223;2540989.4028690145;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3060.5446989672514;1604273.1720191205;0.00034833871063404197;1036360.8884345656;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;1573.6006512247477;778187.8600373622;0.0005592241682679397;3641820.4681373783;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3985.741270179995;1804419.1359690102;0.0004867492243693881;2264254.983412832;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5013.677090115785;846214.3344468519;0.00041620687103679425;2159556.9286136404;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4803.158424535366;1794404.9506426654;0.0005291642443468258;2408269.2362304605;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6771.626761624486;2790257.53189098;0.00029757464153512797;2043068.0277178744;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5563.750391216499;1152180.5873503878;0.00032728826999973786;1724158.261558299;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4426.176255596967;2431985.225494316;0.00047881310207922325;1375262.0639819934;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3638.590222827882;3143220.326812149;0.000563983010930625;2135078.1723110382;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;2049.2508911950595;2848675.6204316374;0.0003805724575936245;2835688.9478151426;feMBB;yes
Smart City;0.0;0;0;0;no;yes;3181.888779043577;1848252.681442029;0.00020027413263857744;755376.1552940884;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7264.141631675331;1389858.530261932;0.0005382863460504912;3475782.032715194;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6441.47750604646;2116590.7163504725;0.000580938798850902;1425434.853072707;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5481.732261535695;2125817.192009333;0.0003181064407647618;2206084.746942172;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4177.133526469155;2614422.4889420774;0.00043457091684893944;1517527.8243974913;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7068.6594776731745;2034112.1975688105;0.0006516484560305485;1961383.3381917125;feMBB;yes
Smart City;0.0;0;0;0;no;yes;3315.474553340353;2268462.551343408;0.00030686131879304813;2218185.749837867;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;3334.533991256586;1394031.593571709;0.00049458278375002;1881437.8405888733;feMBB;yes
Smart City;0.0;0;0;0;no;yes;4844.719765707704;2493112.903340689;0.00038918256426881837;2118942.9530730406;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;1362.2988939819866;1149303.689126292;0.0008640819670203386;2073360.868811085;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3268.2119767567992;1581655.2073105662;0.0002954837687768559;2375529.1370677385;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4606.824882111765;2400569.9480950055;0.0001959602085239007;2330274.626922466;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4231.853546864373;2860631.9074689792;0.0006010415876610655;554766.0435996894;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3353.5730405389113;2455900.6115265964;0.00044572317774092915;1777218.4821432973;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;8392.488989183152;1978405.657401619;0.0003282438726235412;2892422.729349148;umMTC;no
Smart City;0.0;0;0;0;no;yes;7272.373190382261;1984571.5859134202;0.00041805537515552483;2563155.0466716858;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;7857.883538959732;1394766.8083765614;0.0007526520484376994;1256436.02878561;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4835.442685504917;1753716.49586511;0.0005005001069633114;1752161.815701751;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;4186.271450429563;722795.8215801436;0.0007441202213124116;1847848.4727536142;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7669.672152205697;3105979.246474093;0.00029342534420856404;1836992.098898695;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;5142.496402199069;3477473.884312442;0.0006811878105988882;1892427.6346002417;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;3233.1939328349563;704794.329210324;0.0003385884736408466;1659856.2901175937;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3348.9470815978475;1043883.0931152586;0.000704473656861584;1354356.9042180427;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;4459.84122369667;2908254.7144021476;0.0006908640166674874;3417941.741957315;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4963.802822793714;1476850.903462045;0.00033419348619449394;2121520.876018459;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5136.254803499266;2923408.2702035196;0.0005703907643259499;1856044.3222256189;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4694.55611916476;2502601.43207317;0.0005344829393210973;2501211.272608892;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;8899.450320401922;1786076.2617381024;0.0006560191624529247;960559.2452106877;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;2745.5238568261284;2629801.266030328;0.00031123129392827774;2364594.540420056;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;6121.573315471005;1975583.9013988448;0.00043224280068794775;1023879.3464052957;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4204.825030072177;1963972.6308201635;0.0005080017672228676;2241557.454776744;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;4935.863982623577;2352413.8933755895;0.0007507820916147132;1424701.576086082;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6567.835631167008;2528063.9215591834;0.0005099503460116868;2467172.0186722935;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;2029.5491516024317;2668226.282091525;0.0003381741263166401;3771641.4679787466;umMTC;no
Smart City;0.0;0;0;0;no;yes;3424.207239298354;3570045.525713314;0.0005535058676214474;2102677.6972058928;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4777.756634259536;2243087.7418707064;0.0003308111736136805;1003776.6013487568;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;7460.673582786689;2861915.6858084714;0.0002189482239535255;1566158.9472289092;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7451.887685239468;2843375.344265391;0.0004730569770992568;2228806.5825640233;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;7129.122846424409;2456688.1564967097;0.0005462946815208985;2845417.3049345156;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;1345.219217280066;1648321.5211004335;0.0005321311381309319;1255690.186306675;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3251.0596793995446;2731279.5593977906;0.0005089126331750374;3248755.873709921;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3319.6095552677452;2297227.77871813;0.0007976106231603569;2421925.409654127;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4908.450463838077;1140862.7912604415;0.00075855241254988;1992824.3220085136;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;1912.4312836295467;2675787.7019417044;0.00036262179114895666;2575869.030153672;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6830.144578466087;915869.1904529834;0.0006572182212379536;1155563.787512768;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;1676.8531063605324;2431722.586557453;0.0008769873366441604;1390991.5935602414;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6721.204484099395;1631928.8980922878;0.0007930422726245478;1083571.8248186628;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6451.752862403139;2108842.7965346994;0.0006679942975705307;3494235.844585809;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;3176.707395213184;1070585.4625214026;0.00047766976477590814;2008784.547368315;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;7103.547304926418;1517385.470208607;0.0002825739254978745;2122105.931528179;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4445.204444084232;1651016.910050056;0.0003397687087883937;2754993.4423781643;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4012.76713154801;1898475.7150259332;0.0005880537699934822;1050327.5879737907;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4298.157724977685;1603509.6538194183;0.0005490717790049302;1457511.9177584923;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4441.085060433409;2231895.2613385413;0.0005114430322259775;2235718.2680600677;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4594.417337175166;2317981.156829158;0.0006516797793276311;3124414.796585259;umMTC;no
Smart Home;0.0;0;0;0;no;yes;4632.247958932745;1702314.152582387;0.0006949868465695372;2591492.9780915384;umMTC;no
Smart City;0.0;0;0;0;no;yes;3516.7885315640933;2026033.3889228895;0.0006947509505681674;2237484.085562346;umMTC;no
Smart City;0.0;0;0;0;no;yes;3903.616269806855;2354369.9736481346;0.0006227237045324404;2172153.1756081255;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;4047.9244726744146;503642.31756771053;0.0005862207085256763;2750638.989609552;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7788.105072102882;2294775.808390083;0.0004122394785025839;1356909.381164226;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4048.6743355716094;1572188.489080743;0.0005142315419859278;2199451.945458504;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3941.6650897596287;224150.26553195599;0.000559930361632639;2313008.022212846;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;7527.4619541250995;1738785.7970498302;0.0004911041530016795;1824112.0816672256;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4463.872240053172;1328139.9652400166;0.00023490062061207547;1912119.658423754;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;3516.928826689421;1687159.1481607188;0.000553431951950321;926425.6470866092;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;3155.7557169095107;2311370.7991412757;0.0004903838077808927;1633063.8400388432;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2633.802634771237;2566993.992845947;0.000476981235013842;423589.05254169716;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;5902.384759923331;2859742.0279577556;0.0005956106967756973;2448413.5034540677;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;1993.5494399802424;2900472.677273711;0.0005921796924446583;2082729.7875002504;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7244.171787634545;1308977.838379595;0.0006989537716184934;1910556.5859878093;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4848.296323451291;2806658.878520317;0.0005985504558366044;2172488.2396460446;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;4272.1155410980555;1184451.05781034;0.0004360062757043002;2200867.546607261;feMBB;yes
Smart City;0.0;0;0;0;no;yes;4619.945494781526;2705352.9324247516;0.0007205667130429162;1770352.361394033;umMTC;no
Smart City;0.0;0;0;0;no;yes;5772.183915467722;2380703.6277173446;0.0007506372324634313;1069804.9118959815;umMTC;no
Smart Home;0.0;0;0;0;no;yes;4217.513250254602;2113782.670427598;0.000496499587547358;2332029.761295014;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4680.912442132432;1409153.213790356;0.0007081928437866508;1339710.2735597119;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6755.45750935126;2798365.5691244025;0.0005272343619072006;2233524.1088663847;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5578.618248065434;1328249.2391105378;0.0006916028037045744;2873480.3763916385;feMBB;yes
Smart City;0.0;0;0;0;no;yes;2917.438561316761;1984947.5467208324;0.00072059432792161;3181672.252219907;umMTC;no
Smart Home;0.0;0;0;0;no;yes;3821.0374006859274;2045297.045000197;0.000394512821699061;2253451.6743130507;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;2031.769152719588;868114.5958896768;0.0007333109907767654;1793745.1235762988;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;6025.8084080865465;2099331.0697176303;0.0005075456216707105;1684137.4692288933;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;6203.712736327747;1269749.8445363082;0.0005649760727372516;2225939.4174804986;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;3443.3798944567015;2960553.992411485;0.0006853263456040295;704929.9500488478;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;8841.536424314956;3802569.068057495;0.00045709631850742713;1463644.1983337458;feMBB;yes
Smart City;0.0;0;0;0;no;yes;9063.237114009942;1510799.0190715822;0.0006653490900575718;1491887.5548490968;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;5038.512087183054;1738005.8596834836;0.0005278221980777325;2273750.8712611822;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3671.686976091759;2110910.095382978;0.00042428599688144333;1962885.9068180516;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;5456.789682187832;626282.5186258268;0.0006072374762271285;2102744.43874301;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;3632.250272077209;3095629.631560509;0.000708762023916056;1917690.374180043;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6583.728821562331;1787530.390164035;0.0005175902207680838;1853551.5582296895;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5277.737700170632;1733480.8248863295;0.0003310618854209065;2203550.513966945;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;5397.5830660333495;2459786.423394974;0.0004462993072197591;2465082.245968325;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;7932.149814816118;2056648.2178922582;0.0003822139657784177;2711913.127476088;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3968.8976268467404;2109665.4235540144;0.0008791889893783434;1982068.2773898288;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4035.611678722562;2562379.074179117;0.0003543254418995206;2701455.410696566;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6430.97437061576;1916638.455525413;0.00012085519266620553;3060192.3425329924;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4297.241371673754;1251027.6585407325;0.0004358529446692769;1594400.3304960465;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;7673.28506453205;2816004.044388135;0.0005310593656852458;2527774.7124146353;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6667.827644711519;1609670.9554780852;0.0005054868240056439;1620470.0539441477;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4381.626715075912;1646168.9437587007;0.0005299761845890061;2818800.713569713;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;1981.5238747821422;2153831.7377400487;0.00028671030148868913;2125458.7691148114;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2580.336130660478;1129243.743285703;0.000510273042119972;1738086.3861970901;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4197.6368589394515;2159511.2208974217;0.00033491167772332686;1394608.9415432042;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;5674.948996004771;2631705.1167821824;0.000650878187969447;1618262.4098352958;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;6837.444800984745;3053269.305817738;0.00030945939596083627;1896276.878140828;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4638.39021535143;2493432.465697246;0.00048561866638139413;2749431.4065498407;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3519.1677030036544;2715348.8843826298;0.0003675747584226663;1801925.2432808625;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4765.953789177976;1573647.1342398378;0.0006587428930423266;1699595.0967808114;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5034.445523625358;2550246.5547931185;0.0004216311644783028;3182984.804118107;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7175.191371418718;1872589.6506178356;0.0003249605941548557;1731997.0217169425;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;7082.665415629506;2772961.641783661;0.0006757493386906375;1228804.6507024635;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3330.830022292066;2068370.6717922436;0.0001678292138579811;1087525.378286038;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5757.24398181759;2718377.909476312;0.0006153613132758335;1508789.2214645196;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3577.56551527639;2107533.1336076525;0.0005561451399965851;1998079.3504332018;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;3624.634494591024;1488397.7943574123;0.0009204163236038661;2018150.70608459;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6731.452742575247;2026386.0167282713;0.0006084456225488023;1587563.6800515887;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4668.354097467011;1779500.1594396033;0.000583433556191551;969658.5803035242;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6066.829580668427;2864815.9771260354;0.00035807064570959576;1409370.075524415;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5891.635304286584;1095941.2825502562;0.0004634301982454786;1119141.524822041;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4868.037619547249;881812.4854954379;0.0005436906461097374;1.0;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5555.424056230217;2194795.5644737766;0.000737013394087636;455630.61447319016;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5340.2217056411355;1784449.8859943934;0.00037181911233755095;2197541.601921696;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3083.2754305777153;1236209.24403725;0.00019361415422687638;1796308.5720318365;umMTC;no
